kelas,file,status,masalah,durasi_asli,durasi_aktif,silence_pct,rms,max_amp,sr
demam,demam_001.wav,OK,,2.0,1.968,1.6,0.03975,0.439,16000
demam,demam_002.wav,OK,,2.0,1.936,3.2,0.071926,0.9807,16000
demam,demam_003.wav,OK,,2.0,1.856,7.2,0.083923,0.8742,16000
demam,demam_004.wav,OK,,2.0,1.952,2.4,0.049399,0.5119,16000
demam,demam_005.wav,OK,,2.0,2.0,0.0,0.045808,0.5965,16000
demam,demam_006.wav,OK,,2.0,1.28,36.0,0.114061,0.806,16000
demam,demam_007.wav,OK,,2.0,0.96,52.0,0.098768,0.8584,16000
demam,demam_008.wav,OK,,2.0,0.608,69.6,0.095676,0.9929,16000
demam,demam_009.wav,OK,,2.0,0.992,50.4,0.070665,0.4958,16000
demam,demam_010.wav,OK,,2.0,0.96,52.0,0.105411,0.5912,16000
demam,demam_011.wav,OK,,1.963,1.408,28.3,0.021228,0.2412,16000
demam,demam_012.wav,OK,,2.987,1.856,37.9,0.033735,0.108,16000
demam,demam_017.wav,OK,,2.0,0.864,56.8,0.09941,0.7982,16000
demam,demam_020.wav,OK,,2.0,0.736,63.2,0.106018,0.6886,16000
demam,demam_021.wav,OK,,2.0,0.64,68.0,0.085519,0.9943,16000
demam,demam_022.wav,OK,,2.0,0.72,64.0,0.063967,0.6113,16000
demam,demam_023.wav,OK,,2.0,0.688,65.6,0.123841,0.9942,16000
demam,demam_024.wav,OK,,2.0,0.752,62.4,0.09851,0.8668,16000
demam,demam_025.wav,OK,,2.0,0.768,61.6,0.088108,0.9784,16000
batuk,batuk_001.wav,OK,,2.0,2.0,0.0,0.041177,0.5351,16000
batuk,batuk_002.wav,OK,,2.0,2.0,0.0,0.034677,0.4228,16000
batuk,batuk_003.wav,OK,,2.0,1.184,40.8,0.064928,0.9046,16000
batuk,batuk_004.wav,OK,,2.0,2.0,0.0,0.04511,0.5527,16000
batuk,batuk_005.wav,OK,,2.0,1.888,5.6,0.080093,0.9825,16000
batuk,batuk_006.wav,OK,,2.0,1.024,48.8,0.102135,0.9936,16000
batuk,batuk_007.wav,OK,,2.0,0.832,58.4,0.100034,0.9488,16000
batuk,batuk_008.wav,OK,,2.0,1.088,45.6,0.097442,0.995,16000
batuk,batuk_009.wav,OK,,2.0,0.672,66.4,0.112894,0.8718,16000
batuk,batuk_010.wav,OK,,2.0,0.928,53.6,0.099796,0.9502,16000
batuk,batuk_011.wav,OK,,1.451,0.672,53.7,0.010126,0.0782,16000
batuk,batuk_016.wav,OK,,2.0,0.704,64.8,0.082412,0.795,16000
batuk,batuk_017.wav,OK,,2.0,0.8,60.0,0.083649,0.7967,16000
batuk,batuk_018.wav,OK,,2.0,0.768,61.6,0.088487,0.6989,16000
batuk,batuk_019.wav,OK,,2.0,0.704,64.8,0.089363,0.7135,16000
batuk,batuk_020.wav,OK,,2.0,0.736,63.2,0.087685,0.7602,16000
batuk,batuk_021.wav,OK,,2.0,0.64,68.0,0.070057,0.5301,16000
batuk,batuk_022.wav,OK,,2.0,0.704,64.8,0.161666,0.9466,16000
batuk,batuk_023.wav,OK,,2.0,0.8,60.0,0.082192,0.798,16000
batuk,batuk_024.wav,OK,,2.0,0.704,64.8,0.05195,0.5525,16000
batuk,batuk_025.wav,OK,,2.0,0.688,65.6,0.169766,0.9939,16000
pusing,pusing_001.wav,OK,,2.0,2.0,0.0,0.03152,0.3566,16000
pusing,pusing_002.wav,OK,,2.0,2.0,0.0,0.029493,0.3163,16000
pusing,pusing_003.wav,OK,,2.0,2.0,0.0,0.042946,0.4217,16000
pusing,pusing_004.wav,OK,,2.0,1.92,4.0,0.064895,0.7018,16000
pusing,pusing_005.wav,OK,,2.0,1.984,0.8,0.047388,0.4901,16000
pusing,pusing_006.wav,OK,,2.0,0.704,64.8,0.101937,0.7958,16000
pusing,pusing_007.wav,OK,,2.0,1.088,45.6,0.099976,0.6839,16000
pusing,pusing_008.wav,OK,,2.0,0.832,58.4,0.110438,0.7168,16000
pusing,pusing_009.wav,OK,,2.0,1.216,39.2,0.118,0.5681,16000
pusing,pusing_010.wav,OK,,2.0,0.64,68.0,0.089285,0.8864,16000
pusing,pusing_011.wav,OK,,1.963,1.952,0.5,0.143787,0.6541,16000
pusing,pusing_012.wav,OK,,1.28,0.704,45.0,0.044422,0.3143,16000
pusing,pusing_013.wav,OK,,1.024,0.512,50.0,0.068346,0.4203,16000
pusing,pusing_014.wav,OK,,2.389,2.389,0.0,0.05944,0.2918,16000
pusing,pusing_017.wav,OK,,2.0,0.768,61.6,0.089881,0.7812,16000
pusing,pusing_020.wav,OK,,2.0,0.896,55.2,0.107483,0.6143,16000
pusing,pusing_021.wav,OK,,2.0,0.64,68.0,0.023989,0.2564,16000
pusing,pusing_022.wav,OK,,2.0,1.024,48.8,0.023298,0.1886,16000
pusing,pusing_023.wav,OK,,2.0,0.832,58.4,0.022945,0.1519,16000
pusing,pusing_024.wav,OK,,2.0,0.8,60.0,0.027556,0.1825,16000
pusing,pusing_025.wav,OK,,2.0,0.736,63.2,0.041304,0.4498,16000
mual,mual_001.wav,OK,,2.0,2.0,0.0,0.042316,0.3821,16000
mual,mual_002.wav,OK,,2.0,1.968,1.6,0.048507,0.4262,16000
mual,mual_003.wav,OK,,2.0,2.0,0.0,0.047073,0.3081,16000
mual,mual_004.wav,OK,,2.0,0.64,68.0,0.110515,0.9588,16000
mual,mual_005.wav,OK,,2.0,1.616,19.2,0.101983,0.9808,16000
mual,mual_006.wav,OK,,2.0,0.64,68.0,0.09373,0.9771,16000
mual,mual_007.wav,OK,,2.0,0.608,69.6,0.097163,0.9766,16000
mual,mual_008.wav,OK,,2.0,0.8,60.0,0.098314,0.7608,16000
mual,mual_009.wav,OK,,2.0,0.864,56.8,0.106313,0.7688,16000
mual,mual_010.wav,OK,,2.0,0.736,63.2,0.091028,0.7254,16000
mual,mual_018.wav,OK,,2.0,0.928,53.6,0.118828,0.5808,16000
mual,mual_020.wav,OK,,2.0,0.864,56.8,0.10755,0.4104,16000
mual,mual_021.wav,OK,,2.0,0.832,58.4,0.071271,0.7772,16000
mual,mual_022.wav,OK,,2.0,0.864,56.8,0.086295,0.9945,16000
mual,mual_023.wav,OK,,2.0,0.736,63.2,0.104471,0.9933,16000
mual,mual_024.wav,OK,,2.0,0.96,52.0,0.032046,0.3459,16000
mual,mual_025.wav,OK,,2.0,0.64,68.0,0.074731,0.9048,16000
sesak,sesak_001.wav,OK,,2.0,2.0,0.0,0.040091,0.355,16000
sesak,sesak_002.wav,OK,,2.0,1.936,3.2,0.059821,0.5855,16000
sesak,sesak_003.wav,OK,,2.0,2.0,0.0,0.037508,0.4553,16000
sesak,sesak_004.wav,OK,,2.0,1.92,4.0,0.064239,0.7704,16000
sesak,sesak_005.wav,OK,,2.0,1.808,9.6,0.070883,0.8005,16000
sesak,sesak_006.wav,OK,,2.0,0.672,66.4,0.098941,0.9908,16000
sesak,sesak_007.wav,OK,,2.0,1.056,47.2,0.10744,0.9546,16000
sesak,sesak_008.wav,OK,,2.0,1.376,31.2,0.078951,0.5874,16000
sesak,sesak_009.wav,OK,,2.0,1.088,45.6,0.095437,0.7002,16000
sesak,sesak_010.wav,OK,,2.0,0.672,66.4,0.090647,0.993,16000
sesak,sesak_011.wav,OK,,1.792,1.472,17.9,0.057108,0.4756,16000
sesak,sesak_012.wav,OK,,1.451,0.768,47.1,0.01478,0.1484,16000
sesak,sesak_013.wav,OK,,1.536,0.896,41.7,0.024488,0.3896,16000
sesak,sesak_014.wav,OK,,2.475,1.184,52.2,0.012659,0.1416,16000
sesak,sesak_016.wav,OK,,2.0,0.608,69.6,0.07776,0.7478,16000
sesak,sesak_017.wav,OK,,2.0,0.896,55.2,0.100546,0.588,16000
sesak,sesak_018.wav,OK,,2.0,0.608,69.6,0.076593,0.6686,16000
sesak,sesak_019.wav,OK,,2.0,1.088,45.6,0.109285,0.6967,16000
sesak,sesak_020.wav,OK,,2.0,0.96,52.0,0.112111,0.5602,16000
sesak,sesak_021.wav,OK,,2.0,0.704,64.8,0.059136,0.7318,16000
sesak,sesak_022.wav,OK,,2.0,0.8,60.0,0.102054,0.8416,16000
sesak,sesak_023.wav,OK,,2.0,0.64,68.0,0.041903,0.5345,16000
sesak,sesak_024.wav,OK,,2.0,1.12,44.0,0.022123,0.2015,16000
sesak,sesak_025.wav,OK,,2.0,0.608,69.6,0.011732,0.162,16000
nyeri,nyeri_001.wav,OK,,2.0,2.0,0.0,0.040081,0.4585,16000
nyeri,nyeri_002.wav,OK,,2.0,2.0,0.0,0.032471,0.295,16000
nyeri,nyeri_003.wav,OK,,2.0,2.0,0.0,0.036636,0.2913,16000
nyeri,nyeri_004.wav,OK,,2.0,2.0,0.0,0.033895,0.3398,16000
nyeri,nyeri_005.wav,OK,,2.0,2.0,0.0,0.042937,0.3597,16000
nyeri,nyeri_006.wav,OK,,2.0,0.704,64.8,0.115882,0.8218,16000
nyeri,nyeri_007.wav,OK,,2.0,0.704,64.8,0.096504,0.6499,16000
nyeri,nyeri_008.wav,OK,,2.0,0.64,68.0,0.097381,0.7267,16000
nyeri,nyeri_009.wav,OK,,2.0,0.832,58.4,0.086444,0.4838,16000
nyeri,nyeri_010.wav,OK,,2.0,0.832,58.4,0.080839,0.9959,16000
nyeri,nyeri_011.wav,OK,,1.792,0.768,57.1,0.054686,0.7879,16000
nyeri,nyeri_012.wav,OK,,1.195,0.384,67.9,0.023021,0.2753,16000
nyeri,nyeri_013.wav,OK,,1.365,0.757,44.5,0.041922,0.4639,16000
nyeri,nyeri_016.wav,OK,,2.0,0.608,69.6,0.090933,0.5938,16000
nyeri,nyeri_017.wav,OK,,2.0,0.64,68.0,0.088202,0.4954,16000
nyeri,nyeri_018.wav,OK,,2.0,0.704,64.8,0.102984,0.6482,16000
nyeri,nyeri_019.wav,OK,,2.0,0.8,60.0,0.123471,0.5964,16000
nyeri,nyeri_020.wav,OK,,2.0,0.928,53.6,0.107842,0.5285,16000
nyeri,nyeri_021.wav,OK,,2.0,0.704,64.8,0.046532,0.5336,16000
nyeri,nyeri_022.wav,OK,,2.0,0.672,66.4,0.092202,0.8567,16000
